"Counting","1-digit level INDP Industry of Employment","1-digit level HEAP Level of Highest Educational Attainment","Count",
"Person Records","Financial and Insurance Services","Certificate I & II Level",0.0116822
"Person Records","Financial and Insurance Services","Secondary Education - Years 9 and below",0.2974472
"Person Records","Financial and Insurance Services","Supplementary Codes",2.5932275
"Person Records","Financial and Insurance Services","Not stated",1.1567641
"Person Records","Financial and Insurance Services","Not applicable",0
"Person Records","Financial and Insurance Services","Total",100
"Person Records","Rental, Hiring and Real Estate Services","Postgraduate Degree Level",7.0834288
"Person Records","Rental, Hiring and Real Estate Services","Graduate Diploma and Graduate Certificate Level",1.9875174
"Person Records","Rental, Hiring and Real Estate Services","Bachelor Degree Level",22.579562
"Person Records","Rental, Hiring and Real Estate Services","Advanced Diploma and Diploma Level",15.0079149
"Person Records","Rental, Hiring and Real Estate Services","Certificate III & IV Level",19.6379936
"Person Records","Rental, Hiring and Real Estate Services","Secondary Education - Years 10 and above",24.9108575
"Person Records","Rental, Hiring and Real Estate Services","Certificate I & II Level",0.0346443
"Person Records","Rental, Hiring and Real Estate Services","Secondary Education - Years 9 and below",1.3324734
"Person Records","Rental, Hiring and Real Estate Services","Supplementary Codes",5.5084452
"Person Records","Rental, Hiring and Real Estate Services","Not stated",1.9160968
"Person Records","Rental, Hiring and Real Estate Services","Not applicable",0
"Person Records","Rental, Hiring and Real Estate Services","Total",100
"Person Records","Professional, Scientific and Technical Services","Postgraduate Degree Level",18.0961894
"Person Records","Professional, Scientific and Technical Services","Graduate Diploma and Graduate Certificate Level",4.4549008
"Person Records","Professional, Scientific and Technical Services","Bachelor Degree Level",43.3061685
"Person Records","Professional, Scientific and Technical Services","Advanced Diploma and Diploma Level",10.2949548
"Person Records","Professional, Scientific and Technical Services","Certificate III & IV Level",7.6454829
"Person Records","Professional, Scientific and Technical Services","Secondary Education - Years 10 and above",12.7382038
"Person Records","Professional, Scientific and Technical Services","Certificate I & II Level",0.015025
"Person Records","Professional, Scientific and Technical Services","Secondary Education - Years 9 and below",0.3540389
"Person Records","Professional, Scientific and Technical Services","Supplementary Codes",2.1613723
"Person Records","Professional, Scientific and Technical Services","Not stated",0.9342986
"Person Records","Professional, Scientific and Technical Services","Not applicable",0
"Person Records","Professional, Scientific and Technical Services","Total",100
"Person Records","Administrative and Support Services","Postgraduate Degree Level",5.4879619
"Person Records","Administrative and Support Services","Graduate Diploma and Graduate Certificate Level",1.6751967
"Person Records","Administrative and Support Services","Bachelor Degree Level",17.9959427
"Person Records","Administrative and Support Services","Advanced Diploma and Diploma Level",12.0342814
"Person Records","Administrative and Support Services","Certificate III & IV Level",18.8691972
"Person Records","Administrative and Support Services","Secondary Education - Years 10 and above",34.0965729
"Person Records","Administrative and Support Services","Certificate I & II Level",0.1158504
"Person Records","Administrative and Support Services","Secondary Education - Years 9 and below",4.1268485
"Person Records","Administrative and Support Services","Supplementary Codes",3.7002616
"Person Records","Administrative and Support Services","Not stated",1.8958273
"Person Records","Administrative and Support Services","Not applicable",0
"Person Records","Administrative and Support Services","Total",100
"Person Records","Public Administration and Safety","Postgraduate Degree Level",11.6739499
"Person Records","Public Administration and Safety","Graduate Diploma and Graduate Certificate Level",5.2937715
"Person Records","Public Administration and Safety","Bachelor Degree Level",26.5423804
"Person Records","Public Administration and Safety","Advanced Diploma and Diploma Level",15.7013968
"Person Records","Public Administration and Safety","Certificate III & IV Level",16.8470235
"Person Records","Public Administration and Safety","Secondary Education - Years 10 and above",19.3924703
"Person Records","Public Administration and Safety","Certificate I & II Level",0.0430347
"Person Records","Public Administration and Safety","Secondary Education - Years 9 and below",0.961945
"Person Records","Public Administration and Safety","Supplementary Codes",2.3369229
"Person Records","Public Administration and Safety","Not stated",1.2069794
"Person Records","Public Administration and Safety","Not applicable",0
"Person Records","Public Administration and Safety","Total",100
"Person Records","Education and Training","Postgraduate Degree Level",19.3095391
"Person Records","Education and Training","Graduate Diploma and Graduate Certificate Level",9.0273433
"Person Records","Education and Training","Bachelor Degree Level",36.2819885
"Person Records","Education and Training","Advanced Diploma and Diploma Level",9.8794897
"Person Records","Education and Training","Certificate III & IV Level",10.2886971
"Person Records","Education and Training","Secondary Education - Years 10 and above",11.9527569
"Person Records","Education and Training","Certificate I & II Level",0.0266649
"Person Records","Education and Training","Secondary Education - Years 9 and below",0.6220556
"Person Records","Education and Training","Supplementary Codes",1.7218181
"Person Records","Education and Training","Not stated",0.8899295
"Person Records","Education and Training","Not applicable",0
"Person Records","Education and Training","Total",100
"Person Records","Health Care and Social Assistance","Postgraduate Degree Level",12.2949084
"Person Records","Health Care and Social Assistance","Graduate Diploma and Graduate Certificate Level",5.359199
"Person Records","Health Care and Social Assistance","Bachelor Degree Level",32.2924879
"Person Records","Health Care and Social Assistance","Advanced Diploma and Diploma Level",14.3186942
"Person Records","Health Care and Social Assistance","Certificate III & IV Level",15.6781033
"Person Records","Health Care and Social Assistance","Secondary Education - Years 10 and above",14.7060855
"Person Records","Health Care and Social Assistance","Certificate I & II Level",0.0474963
"Person Records","Health Care and Social Assistance","Secondary Education - Years 9 and below",0.9936537
"Person Records","Health Care and Social Assistance","Supplementary Codes",2.6805129
"Person Records","Health Care and Social Assistance","Not stated",1.6288019
"Person Records","Health Care and Social Assistance","Not applicable",0
"Person Records","Health Care and Social Assistance","Total",100
"Person Records","Arts and Recreation Services","Postgraduate Degree Level",6.8803421
"Person Records","Arts and Recreation Services","Graduate Diploma and Graduate Certificate Level",2.6257567
"Person Records","Arts and Recreation Services","Bachelor Degree Level",24.4202272
"Person Records","Arts and Recreation Services","Advanced Diploma and Diploma Level",11.6246372
"Person Records","Arts and Recreation Services","Certificate III & IV Level",15.5263982
"Person Records","Arts and Recreation Services","Secondary Education - Years 10 and above",31.9589981
"Person Records","Arts and Recreation Services","Certificate I & II Level",0.0551786
"Person Records","Arts and Recreation Services","Secondary Education - Years 9 and below",3.0777965
"Person Records","Arts and Recreation Services","Supplementary Codes",2.5620891
"Person Records","Arts and Recreation Services","Not stated",1.270168
"Person Records","Arts and Recreation Services","Not applicable",0
"Person Records","Arts and Recreation Services","Total",100
"Person Records","Other Services","Postgraduate Degree Level",4.527866
"Person Records","Other Services","Graduate Diploma and Graduate Certificate Level",1.5950985
"Person Records","Other Services","Bachelor Degree Level",12.5302267
"Person Records","Other Services","Advanced Diploma and Diploma Level",12.1184773
"Person Records","Other Services","Certificate III & IV Level",39.3513511
"Person Records","Other Services","Secondary Education - Years 10 and above",23.4704071
"Person Records","Other Services","Certificate I & II Level",0.0652185
"Person Records","Other Services","Secondary Education - Years 9 and below",2.329496
"Person Records","Other Services","Supplementary Codes",2.6840644
"Person Records","Other Services","Not stated",1.3227422
"Person Records","Other Services","Not applicable",0
"Person Records","Other Services","Total",100
"Person Records","Inadequately described","Postgraduate Degree Level",7.2174061
"Person Records","Inadequately described","Graduate Diploma and Graduate Certificate Level",1.354818
"Person Records","Inadequately described","Bachelor Degree Level",18.3573508
"Person Records","Inadequately described","Advanced Diploma and Diploma Level",9.8129692
"Person Records","Inadequately described","Certificate III & IV Level",19.2696634
"Person Records","Inadequately described","Secondary Education - Years 10 and above",33.1132971
"Person Records","Inadequately described","Certificate I & II Level",0.0608208
"Person Records","Inadequately described","Secondary Education - Years 9 and below",3.8203596
"Person Records","Inadequately described","Supplementary Codes",3.5132819
"Person Records","Inadequately described","Not stated",3.4765191
"Person Records","Inadequately described","Not applicable",0
"Person Records","Inadequately described","Total",100
"Person Records","Not stated","Postgraduate Degree Level",5.1389844
"Person Records","Not stated","Graduate Diploma and Graduate Certificate Level",0.7770899
"Person Records","Not stated","Bachelor Degree Level",11.562715
"Person Records","Not stated","Advanced Diploma and Diploma Level",5.967668
"Person Records","Not stated","Certificate III & IV Level",15.4252338
"Person Records","Not stated","Secondary Education - Years 10 and above",32.8537033
"Person Records","Not stated","Certificate I & II Level",0.0541415
"Person Records","Not stated","Secondary Education - Years 9 and below",5.2746567
"Person Records","Not stated","Supplementary Codes",3.1293791
"Person Records","Not stated","Not stated",19.8157915
"Person Records","Not stated","Not applicable",0
"Person Records","Not stated","Total",100
"Person Records","Not applicable","Postgraduate Degree Level",1.994836
"Person Records","Not applicable","Graduate Diploma and Graduate Certificate Level",0.8927736
"Person Records","Not applicable","Bachelor Degree Level",6.0681069
"Person Records","Not applicable","Advanced Diploma and Diploma Level",4.5638649
"Person Records","Not applicable","Certificate III & IV Level",7.3618861
"Person Records","Not applicable","Secondary Education - Years 10 and above",21.7394855
"Person Records","Not applicable","Certificate I & II Level",0.0783572
"Person Records","Not applicable","Secondary Education - Years 9 and below",8.7522451
"Person Records","Not applicable","Supplementary Codes",2.7524754
"Person Records","Not applicable","Not stated",11.1151108
"Person Records","Not applicable","Not applicable",34.680866
"Person Records","Not applicable","Total",100
"Person Records","Total","Postgraduate Degree Level",5.3472813
"Person Records","Total","Graduate Diploma and Graduate Certificate Level",1.9507774
"Person Records","Total","Bachelor Degree Level",14.1969323
"Person Records","Total","Advanced Diploma and Diploma Level",7.6574528
"Person Records","Total","Certificate III & IV Level",13.1381302
"Person Records","Total","Secondary Education - Years 10 and above",24.1878428
"Person Records","Total","Certificate I & II Level",0.0660431
"Person Records","Total","Secondary Education - Years 9 and below",5.86263
"Person Records","Total","Supplementary Codes",2.6830417
"Person Records","Total","Not stated",6.6663538
"Person Records","Total","Not applicable",18.2434908
"Person Records","Total","Total",100
